Region,age_band,Female,Male
Jazan,"[70,75)",6272,5798
Jazan,"[75,80)",4233,3946
Jazan,"[80,85)",2949,3100
Jazan,"[85,90)",1622,1662
Jazan,"[90,95)",750,732
Jazan,"[95,100)",357,289
Jazan,"[100,105)",240,179
Makkah al Mukarramah,"[0,5)",281082,292376
Makkah al Mukarramah,"[5,10)",316008,329592
Makkah al Mukarramah,"[10,15)",299840,314392
Makkah al Mukarramah,"[15,20)",270382,276646
Makkah al Mukarramah,"[20,25)",268205,373513
Makkah al Mukarramah,"[25,30)",312332,605813
Makkah al Mukarramah,"[30,35)",316674,648544
Makkah al Mukarramah,"[35,40)",287573,576473
Makkah al Mukarramah,"[40,45)",217596,457851
Makkah al Mukarramah,"[45,50)",156085,314078
Makkah al Mukarramah,"[50,55)",129146,248608
Makkah al Mukarramah,"[55,60)",99278,184910
Makkah al Mukarramah,"[60,65)",73247,118242
Makkah al Mukarramah,"[65,70)",46405,64500
Makkah al Mukarramah,"[70,75)",28151,34235
Makkah al Mukarramah,"[75,80)",18578,18923
Makkah al Mukarramah,"[80,85)",11815,11588
Makkah al Mukarramah,"[85,90)",5705,5385
Makkah al Mukarramah,"[90,95)",2592,2140
Makkah al Mukarramah,"[95,100)",1055,671
Makkah al Mukarramah,"[100,105)",788,446
Najran,"[0,5)",31863,33038
Najran,"[5,10)",31449,33247
Najran,"[10,15)",27125,28865
Najran,"[15,20)",22482,23356
Najran,"[20,25)",20632,28390
Najran,"[25,30)",22151,42110
Najran,"[30,35)",21784,42836
Najran,"[35,40)",18941,37583
Najran,"[40,45)",14044,28554
Najran,"[45,50)",9323,18041
Najran,"[50,55)",7083,12898
Najran,"[55,60)",4901,8271
Najran,"[60,65)",3305,5159
Najran,"[65,70)",2394,2731
Najran,"[70,75)",1863,1748
Najran,"[75,80)",1281,1294
Najran,"[80,85)",841,828
Najran,"[85,90)",477,596
Najran,"[90,95)",209,226
Najran,"[95,100)",109,81
Najran,"[100,105)",110,81
Tabuk,"[0,5)",42296,44012
Tabuk,"[5,10)",43892,45324
Tabuk,"[10,15)",39399,40646
Tabuk,"[15,20)",34513,35704
Tabuk,"[20,25)",32074,43477
Tabuk,"[25,30)",33904,63579
Tabuk,"[30,35)",32799,66291
Tabuk,"[35,40)",29499,57412
Tabuk,"[40,45)",21912,44468
Tabuk,"[45,50)",14520,30457
Tabuk,"[50,55)",11036,22817
Tabuk,"[55,60)",7929,14918
Tabuk,"[60,65)",5223,8327
Tabuk,"[65,70)",3312,4546
Tabuk,"[70,75)",2355,2469
Tabuk,"[75,80)",1607,1467
Tabuk,"[80,85)",1068,1006
Tabuk,"[85,90)",577,482
Tabuk,"[90,95)",230,176
Tabuk,"[95,100)",113,60
Tabuk,"[100,105)",97,43
